Continent,Regions,Code,Zones,City,State,Country,Opened,Latitude,Longitude,Company,Location
Europe,Sweden Central ,eu-stockholm-1,1,Stockholm,,Sweden,2021,59.3294,18.0686,oracle,"Stockholm, Sweden"
Europe,Switzerland North ,eu-zurich-1,1,Zurich,,Switzerland,2019,47.3744,8.5411,oracle,"Zurich, Switzerland"
Europe,UK South ,uk-london-1,3,London,,United Kingdom,2018,51.5072,-0.1275,oracle,"London, United Kingdom"
Europe,UK West ,uk-cardiff-1,1,Newport,,United Kingdom,2020,51.5886,-2.9978,oracle,"Newport, United Kingdom"
Europe,UK Gov South ,uk-gov-london-1,1,London,,United Kingdom,2019,51.5072,-0.1275,oracle,"London, United Kingdom"
Europe,UK Gov West ,uk-gov-cardiff-1,1,Newport,,United Kingdom,2020,51.5886,-2.9978,oracle,"Newport, United Kingdom"
Oceania,Australia East ,ap-sydney-1,1,Sydney,,Australia,2019,-33.8678,151.21,oracle,"Sydney, Australia"
Oceania,Australia Southeast ,ap-melbourne-1,1,Melbourne,,Australia,2020,-37.8142,144.9631,oracle,"Melbourne, Australia"
Oceania,Australian Gov ,ap-dcc-canberra-1,1,Canberra,,Australia,2023,-35.2931,149.1269,oracle,"Canberra, Australia"
Asia,India West ,ap-mumbai-1,1,Mumbai,,India,2019,19.0761,72.8775,oracle,"Mumbai, India"
Asia,India South ,ap-hyderabad-1,1,Hyderabad,,India,2020,17.385,78.4867,oracle,"Hyderabad, India"
Asia,Japan East ,ap-tokyo-1,1,Tokyo,,Japan,2019,35.6897,139.6922,oracle,"Tokyo, Japan"
Asia,Japan Central ,ap-osaka-1,1,Osaka,,Japan,2020,34.6939,135.5022,oracle,"Osaka, Japan"
Asia,Singapore ,ap-singapore-1,1,Queenstown,,Singapore,2021,1.3013,103.7981,oracle,"Queenstown, Singapore"
Asia,South Korea Central ,ap-seoul-1,1,Seoul,,South Korea,2019,37.56,126.99,oracle,"Seoul, South Korea"
Asia,South Korea North ,ap-chuncheon-1,1,Chuncheon,,South Korea,2020,37.8667,127.7333,oracle,"Chuncheon, South Korea"
Asia,Singapore 2,TBD,1,Singapore,,Singapore,Future,1.3,103.8,oracle,"Singapore, Singapore"
Asia,Israel Central ,il-jerusalem-1,1,Jerusalem,,Israel,2021,31.7784,35.2066,oracle,"Jerusalem, Israel"
Asia,Saudi Arabia West ,me-jeddah-1,1,Jeddah,,Saudi Arabia,2020,21.5433,39.1728,oracle,"Jeddah, Saudi Arabia"
Africa,South Africa Central ,af-johannesburg-1,1,Johannesburg,,South Africa,2022,-26.2044,28.0456,oracle,"Johannesburg, South Africa"
Asia,UAE East ,me-dubai-1,1,Dubai,,UAE,2020,25.2048,55.2708,oracle,"Dubai, UAE"
Asia,UAE Central ,me-abudhabi-1,1,Abu Dhabi,,UAE,2021,24.4539,54.3773,oracle,"Abu Dhabi, UAE"
Asia,Israel 2 ,TBD,1,Tel Aviv,,Israel,Future,32.0853,34.7818,oracle,"Tel Aviv, Israel"
Asia,Saudi Arabia 2 ,TBD,1,Riyadh,,Saudi Arabia,Future,24.6333,46.7167,oracle,"Riyadh, Saudi Arabia"
Asia,Saudi Arabia 3 ,TBD,1,Neom,,Saudi Arabia,Future,28.00639,35.2025,oracle,"Neom, Saudi Arabia"
